name,category,seasonality,shelfLife,refrigeration,basePrice,baseCost,avgMonthlyConsumption,peakMonths,varieties
Tomato,perishable,high,3-4 days,true,18,12,3200,"3,4,5,10,11",Hybrid|Cherry|Roma|Desi|Green
Onion,semi-perishable,medium,15-20 days,false,25,18,2800,"9,10,11,12",Red Nashik|White|Yellow|Spring Onion
Potato,stable,low,30-45 days,false,15,10,4100,"1,2,3,11,12",Agra Big|Kufri Jyoti|Sweet Potato|Baby Potato
Wheat,stable,low,180+ days,false,28,22,5200,"4,5",Sharbati|Durum|Lokwan|Sujata
Rice,stable,low,180+ days,false,35,26,4800,"10,11,12",Basmati|Sona Masuri|Kolam|Indrayani
Carrot,perishable,medium,7-10 days,true,22,14,1600,"11,12,1,2",Ooty|Delhi Red|Orange|Nantes
Capsicum,perishable,high,5-7 days,true,40,28,900,"3,4,5,6",Green|Red|Yellow|Simla Big
Cabbage,semi-perishable,medium,10-14 days,false,12,7,1800,"11,12,1,2,3",Green|Purple|Savoy|Napa
Garlic,stable,low,60-90 days,false,60,40,600,"2,3,4",Single Clove|Mandsaur|Jamnagar|Desi
Ginger,semi-perishable,medium,20-30 days,false,55,35,500,"12,1,2",Kochi|Assam|Bangalore|Himalayan
Cauliflower,perishable,high,4-6 days,true,20,12,1400,"11,12,1,2",Snowball|Pusa|Hybrid White
Spinach,perishable,high,2-3 days,true,15,8,800,"11,12,1,2,3",Palak|Baby Spinach|Flat Leaf
